id,subdomain
984a0c74-b3f5-4cb5-b363-5a9c8872b5f6,totalhealthpharmacymilton
ac0e8d5b-b41a-4040-aa4c-db99c2abc6d6,kensingtonpharmacy
9640521c-35bd-4bf5-9ce5-007da1483cea,atlaspharmacy
7eef2d2e-4c6b-435d-9d49-86204eb674a3,plainsrdwestpharmacy
4a776c2d-6358-488b-8f81-35013737e8cf,auroraidapharmacy
79c479b1-bcfe-41e0-ab01-656525b761cf,evapharmacy
albertcountypharmacy,
cridgepharmacydowntown,
cookspharmacy,
pharmaciecocagne,
kortrightpharmacy,
columbiastreetpharmacy,
norarmpharmacy,
youngspharmacyandhomecare,
pharmacyassociates,
medicineshoppe404,
inglesidepharmacy,
healthcareidapharmacy,
gravenhurstida,
boggioedwards,
mainstreetpharmasave,
sanomedpharmasave,
medshoppe315,
moosecreekpharmacy,
ststephenguardian,
cridgepharmacykeating,
kellysguardiandrugstore,
simcoesquareguardian,
brantarts,
erincreek,
bathpharmacy,
idastouffville,
yakimetspharmacy,
forddrivepharmacy,
rutherfordguardian,
neighbourhoodpharmacy,
gordonpharmasave,
mountdalepharmacy,
medshoppe380,
unicarepharmacy,
sgpharm,
bvpharmacy,
boggiofonthillpharmacy,
macarthurdrugs,
rxdrugmartdurham,
mcintyreida,
bramcitypharmacy,
ingersollpharmasave,
northgatemedshoppe,
morellisboxgrove,
gulfcanadamedicineshoppe,
gorepharmacy,
kennedyroadpharmacy,
medicineshoppestvital,
cwpharmasave,
tobiapharmacy,
plapmedicineshoppe,
westendpharmasave,
westmountmedicalpharmacy,
pharmasavespeedvale,
woodlandpharmacy,
pollardida,
medicineshoppeonfort,
jamespotterroadpharmacy,
grandparkpharmacy,
roulstonswellnesscentre,
coulterspharmacy,
arcade,
montaguepharmasave,
unicare,
walthersida,
medicineshoppepembina,
ms0410,
kingcitypharmacy,
mountroyalpharmacy,
charolaisida,
cooksqueensbushpharmacy,
medicinepointida,
medshopperochdale,
boggiomackinnonpharmacy,
colespharmacy,
thecornerdrugstore,
stirlingpharmacy,
brameastpharmacy,
cookstownpharmasave,
sullivanspharmacy,
dcp,
purehealth,
rxdrugmartsmithville,
truscottpharmacy,
homesteadcooppharmacy,
paulspharmasave,
thorncliffemedicineshoppe,
pscaledoneast,
longsaultpharmacy,
sheppardcommunitypharmacy,
shermanida,