name,address,postal,phone,province,id
Access Pharmacy,"6255 Andrews Loop SW, Edmonton, AB T6W 3G9",T6W3G9,7803911315,AB,a6fef7d9-0ecc-44d1-85af-ef6c8d2b6501
Admirals Walk Pharmasave PS#285,"1497 Admirals Road
101
Victoria British Columbia V9A 2P8
Canada",V9A2P8,416-309-9109,BC,31327823-3ce8-445a-9db6-b0f00778e34d
Ali's Drug Mart,"1 Westwind Dr #214, Spruce Grove, AB T7X 1R3",T7X1R3,(587) 461-7308,AB,9ca91d85-3bc2-4442-a67a-a7bf0f9dc45f
Bigstone Slave Lake Apple Drugs,"108 6 Ave NW, Slave Lake, AB T0G 2A1",T0G2A1,780-849-9443,AB,fbaa7876-0a33-4a96-90d3-6d4c33a0d2e7
Bishop's Crossing Pharmacy and Travel Clinic,"300b-1212 5th St S E, High River, (Alberta), T1V 0J2",T1V0J2,587-437-1880,AB,fa3d20f4-ba61-47aa-b2e4-3b94d8e2b87c
Bouctouche Guardian,"30 Irving Blvd #200, Bouctouche, NB E4S 3L2",E4S3L2,506-743-2435,NB,1091db37-0eed-4421-b5bd-816281cba33e
Brighton Remedy's Rx Pharmacy,"24 Main St, Brighton, ON K0K 1H0",K0K1H0,613-475-1499,ON,0df4ec73-d93c-48d7-b2ef-7f3cb7de4254
Bruderhheim Pharmacy,"4901 Queen St, Bruderheim, AB T0B 0S0",T0B0S0,780-575-3000,AB,3d67d43f-ab3d-4323-8ae8-9caea14dab0f
Central Alberta Co-op Plaza,"4707 50 St, Red Deer, AB T4N 1X3",T4N1X3,403-342-6775,AB,64f4a10c-3274-4b30-ad50-7acdb5c292a3
Central Alberta Co-op Timberlands,"499 Timberlands Dr #3101, Red Deer, AB T4P 0Z3",T4P0Z3,(587) 802-8558,AB,a7fefabb-b892-4fdb-8f92-725224a6e9fd
Chase River Pharmasave PS#267,"1273 Island Highway South
5
Nanaimo British Columbia V9R 7A4
Canada",V9R7A4,250-755-1834,BC,98ce6782-aa56-4b11-b677-61f73c956e42
Community Drug Mart #5015 - Orillia,"100 Colborne St W, Orillia, ON L3V 2Y9",L3V2Y9,249-495-0797,ON,fcdc7062-8782-46a3-bf10-5d3a750ae538
Credit Ridge Remedy's Rx,"7-9525 Mississauga Rd, Brampton, ON L6X 0Z8",L6X0Z8,905-451-4888,ON,8f9b1c44-e98b-4d4c-8d4c-09226873e9e3
Crowborough Pharmacy,"6055 Andrews Way SW #111, Edmonton, AB T6W 3S9",T6W3S9,587-735-3492,AB,4e7769f9-6164-4825-afc9-187355752979
Falls Remedy's Rx Pharmacy,"6635 Drummond Rd, Niagara Falls, (Ontario), L2G 4N4",L2G4N4,905-354-3883,ON,2598bf15-5615-4e07-bf91-b822cf318ce1
FamiliPrix #1944,"150, Rte La Vallée, Memramcook, NB E4K 2A6",E4K2A6,506-758-1890,NB,004d1fbb-053f-46ec-9d0b-a69974cfe07b
Forbes Pharmacy Millstream IDA,"105 - 2349 Millstream Rd
Victoria British Columbia V9B 3R5
Canada",V9B3R5,,BC,6948feca-0618-4adb-81af-78fc411bb165
Hampton's Pharmacy Remedy's Rx,"5603 199 Street
Edmonton, AB T6M 0M8",T6M0M8,780-809-1955,AB,358813f0-b10d-4fe0-9d3b-8d550957587a
Hespeler Pharmacy,"100 Jamieson Pkwy #13, Cambridge, ON N3C 4B3",N3C4B3,519-658-6559,ON,4c46a1d6-8102-4368-8e0b-e95e92a22e30
IDA Griesbach Pharmacy,"6881 Ad Astra Blvd NW, Edmonton, AB T5E 6X3",T5E6X3,7805408585,AB,d1f8cb8d-1472-45cd-8c83-1037e2e01897
Kent Guardian,"9385 Rue Main, Richibucto, NB E4W 4B6",E4W4B6,506-523-4447,NB,8d11d6df-c116-4732-b1f4-aebd614b0129
Lendrum Guardian Pharmacy,"5720 111 St NW, Edmonton, AB T6H 3G1",T6H3G1,587-759-0708,AB,4adf7a17-c43c-42df-bc0b-6c786580830d
Medicine Shoppe #169,"1782b Comox Ave, Comox, (British Columbia), V9M 3M8",V9M3M8,250-339-5050,BC,d7df060c-2004-4c38-b8ea-62cdab8838a0
Medicine Shoppe #405,"10130 111th Ave, Edmonton, (Alberta), T5G 0B3",T5G0B3,780- 479-5646,AB,ffb8a810-48fe-4170-8ccc-2dcc34db034d
Muskoka Medical Centre Remedy's Rx,"101 - 348 Muskoka Rd. #3 North
Huntsville Ontario P1H 1H8
Canada",P1H1H8,705-789-1785,ON,6b1c7212-b0c4-4032-9230-419fc8c59787
North York General - Pharmacy Dept,"4001 Leslie St, North York, ON M2K 1E1",M2K1E1,416-756-6752,ON,3e934dff-f4d6-40d9-9a98-3bbaddad51cf
Origins Pharmacy - Milton,"Units 2&3, 725 Bronte St S, Milton, ON L9T 9K1",L9T9K1,905-636-9996,ON,41199cd6-dbf3-42ad-b239-e83a36c17d21
Pharmachoice #6018 - Pharmacie Dufresne,"10-1321 Dawson Rd Lorette, MB  R5K 0S2",R5K0S2,204-878-4122,MB,db4c8f2b-9c1d-4282-9f16-a6f5fbdab9ad
Pharmachoice #7146 - Green's Pharmacy,"9 - 3850 Green Falls Dr
Regina Saskatchewan S4V 3M1
Canada",S4V3M1,306-775-2777,SK,7bfc94a7-7f07-4f6f-8e30-acf4be761754
Pharmachoice #8157 - Catalyst Pharmacy,"5009 50 Ave
Saint Paul Alberta T0A 3A0
Canada",T0A3A0,780-614-3210,AB,64e72053-a93a-4de2-8fc8-6d3ccc2e467b
Pharmachoice #9102 - Langford Pharmacy,"2854 Peatt Rd #109, Victoria, BC V9B 0W3",V9B0W3,778-265-5550,BC,14640fcc-9f5d-41b5-a941-cde0651037be
Pharmachoice TLC Pharmacy,"1235 Main St. N.
Moose Jaw SK S6H 6M4",S6H6M4,306-972-7200,SK,2be2617d-93f9-4c75-a279-46d6385f6474
Pharmasave #011 - Osoyoos,"8301 - 78th Avenue
Unit C
Osoyoos British Columbia V0H 1V0
Canada",V0H1V0,250-495-7424,BC,6415702c-cca0-45d8-8d16-525ffe73d0bf
Pharmasave #319 - Bashaw Drugs,"5010 50 St.
Bashaw Alberta T0B 0H0
Canada",T0B0H0,780-372-3503,AB,69ab4120-36e7-413c-8668-705cf8baabdc
Pharmasave #439 - Carlyle,"218 Main Street
Box 1059
Carlyle Saskatchewan S0C 0R0
Canada",S0C0R0,306-453-4460,SK,2ed835c0-d0bb-4796-a58e-485daaf28615
Pharmasave #9650 - Golden Lake,"11188 Hwy 60
Golden Lake ON   K0J 1X0",K0J1X0,613-625-1112,ON,9a851f98-57de-4447-a0aa-3f1d808fbbd4
Pharmasave #9773 - East York,"840 Coxwell Avenue
Toronto Ontario M4C 5T2
Canada
",M4C5T2,416-613-9511,ON,46a40558-64a8-4172-820d-4d82e0926b23
Pharmasave #9781 - Country Hills,"153 Country Hills Dr.
Unit 5
Kitchener Ontario N2E 2G7
Canada",N2E2G7,519-954-3777,ON,58a91a7f-b3b6-4d5d-84c8-8e937c261588
Pharmasave Baber's Pharmacy,"130 Main Street
Balcarres Saskatchewan S0G 0C0
Canada",S0G0C0,306-334-2424,SK,b6fa79dd-d757-46b1-bb85-7e9e820dcf19
Pharmasave #735 - West Carleton Drug Mart,"461 Donald B. Munro Drive
Carp ON   K0A 1L0",K0A1L0,613-839-3133,ON,225e3094-978a-45ce-9312-44ef4946c9ea
Pharmchoice # 5761 - Palermo Pharmacy,"100 – 2525 Old Bronte Road, Oakville, Ontario, L6M 4J2",L6M4J2,905-582-5520,ON,38a65b84-aabc-4b61-9eb9-480eabacfca6
QH Pharmacy,"284 Queen St. E. Unit 116
Brampton ON   L6V 1C2",L6V1C2,905-782-8384,ON,7f258269-ec4e-45da-8157-c50cf68c5059
Remedy's Rx - Seven Days Pharmacy,"4121 118th Ave, Edmonton, (Alberta), T5W 1A2",T5W1A2,780-244-3300,AB,9901804e-36f8-41b7-833d-026197dbeea5
Remedy'sRx #227 - Riverside Court,"3635 Rivergate Way, Ottawa, ON K1V 2A4",K1V2A4,613-739-0950,ON,cff531af-e936-4d69-b64a-3b1cb5e87d9f
Revolution Remedy's Rx,"5959 Signal Hill Centre SW, Calgary, AB T3H 3P8",T3H3P8,587-319-0501,AB,42337e27-6bf7-4b53-b028-a7baeb742bb1
Sechelt Pharmacy,"5648 Dolphin St, Sechelt, BC V0N 3A3",V0N3A3,604-740-8111,BC,56881eb2-43af-426c-b3c4-dbb1a6e22e21
Specialty Pharma Solutions,,,647-823-3223,ON,64228a58-93d1-444e-ac83-7de284ce19b7
St. Gabriel Medical Phramacy,"650 Sheppard Ave East
Toronto Ontario M2K 1B7
Canada",M2K1B7,416-222-0007,ON,cd59a54b-7c5c-4351-a862-6282ea47dc50
Sunset Ridge Pharmacy - Pharmachoice,"9117-101 Sunset Dr, Cochrane, AB T4C 0W7",T4C0W7,403-851-5517,AB,cbfc3baf-423c-4308-9954-b69d361d7393
Taylor Creek Pharmacy,"570 Lacolle Way
Orleans ON   K4A 0N9",K4A0N9,613-686-1991,ON,3aec4289-a832-49e8-bdc8-458d966891f3
The Medicine Shoppe Pharmacy #244,"9002 Jasper Ave, Edmonton, (Alberta), T5H 3S8",T5H3S8,780-424-8998,AB,bf2f314a-e64b-4dae-9fcf-773cc1c88285
The Medicine Shoppe Pharmacy #340 - Care Access Pharmacy,"12411 118th Ave, Edmonton, (Alberta), T5L 2K3",T5L2K3,780-455-0880,AB,270774d4-b7d3-4aa8-8cb9-b3488e53a273
The Medicine Shoppe Pharmacy #353,"10423 158 Avenue NW, Edmonton, AB T5X 5E5",T5X5E5,780-705-8150,AB,c39c23ad-75f1-46e2-bf88-e79e8f1be9b9
The Medicine Shoppe Pharmacy #370 - Canadian Drug Mart,"11407 40th Ave, Edmonton, (Alberta), T6J 0R4",T6J0R4,780-468-1557,AB,cf93f697-a306-4112-b899-c820cb4036ec
The Medicine Shoppe Pharmacy #390,"2356 23rd Ave, Edmonton, (Alberta), T6T 0R1",T6T0R1,780-485-1378,AB,0152d717-e9e9-484b-b815-a1aba96ccdbf
Tillsonburg Remedy's Rx #5020,"400 Simcoe St, Tillsonburg, (Ontario), N4G 4X1",N4G4X1,519-842-2220,ON,eb36ed78-df68-46b7-8921-eb283c2a8536
Total Health Pharmacy #125 - Bridle Trail,"17725 Yonge St Unit 8, Newmarket, ON L3Y 7C1",L3Y7C1,905-898-4700,ON,92358f79-fdb7-4600-8475-67979a7d3723
Total Health Pharmacy #149,"997 Gerrard St E
Toronto, ON
M4M 1Z4",M4M1Z4,647-351-3784,ON,ff38dc2c-4b68-479a-a6a5-5c0f6bd992c5
Whole Health Intrepid Pharmacy,"379 Bond St W Unit 500, Oshawa, ON L1J 8R7",L1J8R7,905-240-4678,ON,5f676232-df5e-4a1c-b19e-532fbadedacf
Whole Health Pharmacy - Dawson Heights Pharmacy,"Suite 109 - 109 Regina Avenue
Thunder Bay Ontario P7B 5B4
Canada
",P7B5B4,807-285-9999,ON,2c0d7e45-14af-4387-87f5-4c12530cef7b
Green's Drug Mart (Green's Harbour),26 Main Highway,A0B1X0,709-582-3203,NL,2d397a09-4ecb-4711-a645-4b61b3ec75a6
Green's Drug Mart (Dildo),Main Street PO BOX 149,A0B1P0,709-582-3122,NL,debb3ac2-0559-4aad-9f4d-ab14a74f8be9
Dales Pharmacy Scarborough,9 Chelwood Rd,M1K2K5,416-752-1441,ON,b29f9f02-8388-4e8f-ba53-282c3ef88a6c
Dales Pharmacy Markham,"377 CHURCH STREET
Markham Ontario L6B 1A1",L6B1A1,905-471-1234,ON,3f832d1f-cde9-4c12-af36-a22b66a6e9d5
Dales Pharmacy Thornhill,"8200 Bayview Ave.
Thornhill Ontario L3T 2S2",L3T2S2,905-881-1616,ON,f2427fbc-d73a-4841-be32-faa795e1aa06
Dales Pharmacy Parliament,572 Parliament Street Toronto Ontario M4X 1P8,M4X1P8,416-921-4927,ON,f8f9edfe-dc37-4b94-899b-b6268df1c767
Green's Drug Mart (Placentia),"Main Street
P.O. Box 192
Placentia Newfoundland and Labrador A0B 2Y0",A0B2Y0,709-582-3124,NL,3de6c343-a6bc-463f-af8b-58fea6723877
Green's Drug Mart (CBS),842 Conception Bay Highway PO Box 170,,709-830-1420,NL,32f0f6b8-374b-41bf-9872-dd68af726293
Green's Drug Mart (Bay Roberts),"Main Street, PO Box 1478
Bay Roberts Newfoundland and Labrador A0A 1G0",A0A1G0,709-786-2226,NL,d4e1e654-49db-4c5d-a59b-25e95eb798e7
Sinyard's Pharmacy (Harbour Grace),"17 Harvey Street (Po Box 359)
Harbour Grace Newfoundland and Labrador A0A 2M0",A0A2M0,(709) 596-5470,NL,99f2d7fd-ac2f-415f-a9b8-edadcbd1901a
Blairmore IDA,"12749 20th Avenue, Box 358, Blairmore, T0K 0E0",T0K0E0,403-562-2725,Alberta,c8028fe4-0b02-4ff8-b081-e56e8d021ae8
Boyle IDA,"5118 3rd St, Boyle, T0A 0M0",T0A0M0,780 689-3762,Alberta,6d9d37c5-21f3-45cb-b206-976cb3ae4abd
Campbellford Guardian,"16 Grand Road, Campbellford, K0L 1L0",K0L1L0,705-653-1885,Ontario,0f920718-d583-4578-b2e8-ad8b431765bd
Camrose Rxellence,"6601-48th Avenue, Camrose, T4V 3G8",T4V3G8,780-672-0100,Alberta,d62bd819-50f1-4664-be8a-1eed8499dbd3
Cold Lake Marina Mall,"4 901 10 ST, Cold Lake, T9M 1N2",T9M1N2,780-639-3393,Alberta,dca573a2-1cfc-44a5-80fd-295636014a37
Community Drug Mart,"206-6503 51 St, Cold Lake, T9M 1C8",T9M1C8,780-594-5444,Alberta,4e9b3521-c471-4c67-a67f-a66894704fdf
Consort Drug Store,"4916 50 Street Box 10, Consort, T0C 1B0",T0C1B0,403 577-3644,Alberta,64c9744d-92da-468d-ab0d-0016dec21e5d
Crown Point Pharmacy,"900 Watters Rd, Orleans, K4A 0B4",K4A0B4,613.590.0230,Ontario,699ba399-06b2-45cc-ab93-c2478bc7841f
Elk Point Pharmachoice,"4906 50th Street Box389, Elk Point, T0A 1A0",T0A1A0,780 724-3866,Alberta,8499f47f-07d2-4b35-bf1e-356c0e216612
Fullerton Drugs,"170 Pitt Street, Cornwall, K6J 3P4",K6J3P4,613-932-6843,Ontario,bc4c9f09-bc69-4814-8cb9-32cc01c917c9
Fullerton Drugs #5036 - McConnell,"114-820 McConnell Ave, Cornwall, K6H 4M4",K6H4M4,613-933-7233,Ontario,5c00f1db-aedc-4886-be42-9f2e8ad8fea9
Hardisty Community Drug Mart,"5032 50th Street Box 589, Hardisty, T0B 1V0",T0B1V0,780 888-3786,Alberta,bf3d0153-02ec-43b2-9065-fdfbc4b5174b
Koegler's Pharmasave,"1334 Veterans Street, Pincher Creek, T0K 1W0",T0K1W0,403-627-2444,Alberta,c51be7c4-df90-4429-92f1-fc328ab5a5ed
Lovell Drugs - King St.,"8 King Street E., Oshawa, L1H 1A9",L1H1A9,905-723-2245,Ontario,de3fff78-f813-4148-8aa6-0c6be19a48a0
Lovell Drugs 800 M.A.P.,"800 Princess St., Kingston, K7L 5E4",K7L5E4,613.549.3300,Ontario,b81dd95e-4f3c-43ae-af4c-9dfc8ac08bbc
Lovell Drugs Brock St,"166 Brock St., Kingston, K7L 3E2",K7L3E2,613.546.8359,Ontario,0c8b1de7-d781-4b1d-93e4-b3c91e4b9847
Lovell Drugs Frontenac,"789 Princess St., Kingston, K7L 1E9",K7L1E9,613.542.7309,Ontario,d2d56a98-ffd0-4979-a287-6e36f61ea783
Lovell Drugs Grandview,"600 Grandview St S., Oshawa, L1H 8P4",L1H8P4,905.432.8460,Ontario,dd255e03-d65c-4f65-a210-a3ad3869816f
Lovell Drugs KGH,"76 Stuart St, Kingston, K7L 2V7",K7L2V7,613.546.2611,Ontario,5eaf9bc2-64d2-45b3-bd3d-9cec7f11a835
Lovell Drugs Rossland,"500 Rossland Rd. W., Oshawa, L1J 3H2",L1J3H2,905-728-4668,Ontario,7f4214d6-f9bf-4331-a232-b243d74dc23f
Lovell Drugs Whitby,"617 Victoria St W., Whitby, L1N 0E4",L1N0E4,905.668.3394,Ontario,f260ce73-4e9b-4892-a42d-19947a64a187
Pharmasave - 7th Street Medicine Hat,"407 7th Street SW, Medicine Hat, T1A 4K4",T1A4K4,(403) 527-2552,Alberta,2102e99c-4750-478e-8ed4-c7f2b8edbf44
Pharmasave - Chilliwack,"110 - 9193 Main Street, Chilliwack, V2P 7S5",V2P7S5,(604) 792-1240,British Columbia,dbaaec8c-a8e6-4646-93f3-084ac42934d4
Pharmasave - Columbia Square,"130 - 1005 Columbia Street, New Westminster, V3M 6H5",V3M6H5,(604) 525-5607,British Columbia,62bcece5-761b-4d8f-81b5-05a0a68dae52
Pharmasave - Cottonwood,"12005 238B Street, Maple Ridge, V4R 1W3",V4R1W3,(604) 476-1420,British Columbia,b5af536c-8619-407e-a61e-795b9b01084f
Pharmasave - Edgemont,"3233 Connaught Crescent, North Vancouver, V7R 2V7",V7R2V7,(604) 988-1911,British Columbia,a7cd340d-418d-4766-a8d3-ede7cfc8b2b2
Pharmasave - Langley Gardens,"7 - 8948 202nd Street, Langley, V1M 4A7",V1M4A7,(604) 513-1414,British Columbia,40726488-7928-4ddb-8100-474ed0210ffe
Pharmasave - Redcliff,"114 Broadway Avenue East, RedCliff, T0J 2P0",T0J2P0,403-548-3838,Alberta,92fa9c91-5037-4242-8599-82ce1a40f1f9
Pharmasave - White Rock,"101 - 1688 152nd Street, Surrey, V4A 4N2",V4A4N2,(604) 538-6334,British Columbia,b4d60d88-6759-4542-908c-e4f990553145
"Pharmasave #203 // ""Pharmasave - Crest""","8697 10th Ave, Burnaby, V3N 2S9",V3N2S9,604-522-8050,British Columbia,5449a681-427c-4a18-a8ab-a1d2ae74c798
Pharmasave Boundary Park,"110 - 6350 120th Street, Surrey, V3X 3K1",V3X3K1,(604) 507-3999,British Columbia,6bed1d8f-fa49-4f3a-9144-6726ba8ca613
Pharmasave Health Centre #315,"1 - 1224 Strachan Road SE, Medicine Hat, T1B 4R2",T1B4R2,(403) 527-7156,Alberta,3cc3aa8d-042d-464d-8f75-b58372af21c6
Pharmasave Hope,"235 Wallace Street, Hope, V0X 1L0",V0X1L0,(604) 869-2486,British Columbia,de4e88c6-2f2d-46f5-979a-157886be324c
Pharmasave Sechelt,"5663 Cowrie Street, Sechelt, V0N 3A0",V0N3A0,604 885-9614,British Columbia,f16ab264-8d93-427c-8b1e-28fb08d1e04f
Pharmsave Medicine Hat,"58 8th Street NW, Medicine Hat, T1A 6P1",T1A6P1,(403) 527-5332,Alberta,3ab2e46d-9350-4d89-a3d3-03c65a86207f
Prescription Pharmacy Lovell Drugs,"11 Gibb St., Oshawa, L1H 2J9",L1H2J9,905-432-2610,Ontario,2c45638b-6ed8-4e59-b172-ab389b774979
Remedy’s Rx - Rx Drug Mart - Chapparal,"803 Chaparral Dr SE Suite 204, Calgary, T2X 0E5",T2X0E5,403-256-7674,Alberta,f91016d5-b051-4d6a-b877-19e167dea65b
Remedy's Rx Embrun,"Loblaws, Embrun, K0A 1W0",K0A1W0,613.443.2357,Ontario,11f94c85-09af-41a9-879e-d838c19ccfe5
Remedy's Rx Ingersoll,"Loblaws, Ingersoll, N5C 2K9",N5C2K9,519.425.2118,Ontario,e2b79096-e29d-45b3-b276-4db8629384d4
Remedy's Rx Listowel,"Loblaws, Listowel, N4W 3T1",N4W3T1,519.291.5311,Ontario,63226e1c-1839-4a4e-81b8-9aee9b236a0e
Remedy's Rx Port Perry,"Loblaws, Port Perry, L9L 1H9",L9L1H9,905.985.3308,Ontario,4c58c93a-e163-40f7-858d-8f6a0c04b3a2
Rothesay Community Drug Mart,"58 Marr Road, Rothesay, E2E 3J8",E2E3J8,506.847.4407,New Brunswick,9c67680e-9890-4c83-a3a4-f0ab99e32662
Sexsmith IDA,"9805 103 Street, Sexsmith, T0H 3C0",T0H3C0,780 568-3111,Alberta,3dab39b7-d85d-4437-9551-4e83b42cfdf2
Sundre 403 Main Pharmachoice,"403 Main Ave. W Box 1958, Sundre, T0M 1X0",T0M1X0,403 638-3922,Alberta,8307044a-15aa-48e0-9930-475097ae1998
Sundre Pharmasave,"557 Main Ave. W Box 1958, Sundre, T0M 1X0",T0M1X0,403 638-4944,Alberta,7aef6ccb-2775-4f86-aa53-d2a5f49ceccc
Whitehorn Remedy's Rx,"4440 44 Ave NE, Calgary, T1Y 4W5",T1Y4W5,403-398-4555,Alberta,bb32ff86-fc7b-416f-a9bb-2b33ff1f26d9
BMC Pharmacy - Sarnia,"118 Victoria St. N, Sarnia, Ontario N7T 5W9 Canada",N7T5W9,519-337-9900,Ontario,1ddf199a-9bfe-4ed6-8db6-364cadd3968d
Lac La Biche Value Drug Mart,"10133 - 101 Street<br>Box 477, Lac La Biche, Alberta T0A 2C0 Canada",T0A2C0,780-623-4370,Alberta,5f4c48bd-fbee-4fa6-9c7c-a3ca4b1443ec
Pharmachoice #2208 - South Shore,"20424 Transcanada Highway <br>Unit 3, Crapaud, Prince Edward Island C0A 1J0 Canada",C0A1J0,902-658-2212,Prince Edward Island,5e79c04e-4dcd-4239-8fab-bf8673a6973f
PRESCOTT REMEDY'S RX #5025,"150 Prescott Centre Dr, Prescott, Ontario K0E 1T0 Canada",K0E1T0,613-925-1630,Ontario,52d3b831-3825-45dc-b873-586e6b360ccf
Whole Health Pharmacy - Stittsville,"1609 Stittsville Main St, Stittsville, Ontario K2S 1N5 Canada",K2S1N5,613-831-2180,Ontario,7ae54f81-fa01-4f2a-9e1d-df3e7cc1d60f
Northend Farmacia IDA Pharmacy,"3 Colborne Street, Hamilton, Ontario L8R 2G2 Canada",L8R2G2,905-526-6464,Ontario,9baac9e6-2c45-4a03-b189-079355e62618
Franklin Pharmacy #5001,"1150 Franklin Blvd., Cambridge, Ontario N1R 7J2 Canada",N1R7J2,519-629-3857,Ontario,e893f152-faa8-4f4b-b441-a06b743563dc
Pharmasave #367 - Heritage Pointe,"320 Pine Creek Road, Heritage Pointe, Alberta T1S 4J9 Canada",T1S4J9,403-873-7530,Alberta,66f6f054-8837-4d56-b9fb-5c54ae90acfb
Pharmasave #9742 - Wincare Pharmacy,"2501 Guelph Line<br>Unit #1, Burlington, Ontario L7M 2A3 Canada",L7M2A3,905-332-2999,Ontario,03b71cc6-5026-4e1f-a1ba-1b0d41e49d10
Sioux Lookout Remedy's Rx Pharmacy,"75 King Street<br>P.O. Box 699, Sioux Lookout, Ontario P8T 1B1 Canada",P8T1B1,888-338-8469,Ontario,c5224e08-5799-4428-8f69-f9d7536146ab
Costco,"415 West Hunt Club Road, Nepean, Ontario K2E 1C5 Canada",K2E1C5,613-221-2987,Ontario,a5710951-af6f-4910-ae11-dc4cea8085e2
Medical Arts Pharmacy,173 Montreal Road,K6H 1B2,613-932-6501,Ontario,3af69f18-cd13-49ed-9008-82105098f822
Englehart IDA,"63 5th Ave, Englehart, Ontario P0J 1H0",P0J1H0,705-544-8054,Ontario,0ab684f6-6e33-4390-98ab-56e83cdb9bda
Bank Street Pharmasave,"1355 Bank Street, Ottawa, Ontario K1H 8K7 Canada",K1H8K7,613-731-2200,Ontario,fd2093b1-7147-4d5a-82d7-a0c968d6c268
Findlay's Drug Store,"460 - 247 Whitewood Ave, New Liskeard, Ontario P0J 1P0",P0J1P0,705-647-4531,Ontario,97dbd202-ab7c-468c-8dcf-ead127fabbe9
iPharmacy Inc Millwoods,"5708 19A Avenue, Edmonton, Alberta T6L 1L8",T6L1L8,780-757-3000,Alberta,7ff3b98a-e7e7-493c-b61f-302037ac318f
RxDM IDA Moosomin,"608 Birtle Street PO Box 1488, Moosomin, Saskatchewan S0G 0V0",S0G0V0,306-435-3252,Saskatchewan,44fc6a2d-fb25-4575-99aa-3dea6f4666f1
Grand Bay Guardian Pharmacy,"114 River Valley Dr, Grand-Bay Westfield, New Brunswick E5K 1A2",E5K1A2,506-738-8406,New Brunswick,fd9069ec-84db-420f-83fe-93657fa670e8
Saskatoon Community Clinic Pharmacy,"455 2nd Avenue N, Saskatoon, Saskatchewan S7K 2C2",S7K2C2,306-664-4277,Saskatchewan,e057813d-370b-436a-b680-5891c40407ad
Pharmasave Grand River,"334 Broad Street West, Dunnville, Ontario N1A 1T1",N1A1T1,905-701-1000,Ontario,638dc15a-2df9-47cb-81d6-ebe70c966d38
BMC Pharmacy Chatham,"69 Grand Ave E, Chatham, Ontario N7L 1V8",N7L1V8,519-358-1200,Ontario,93db559c-fd60-4151-bd92-f8e7004f4cb7
Algonquin Pharmasave,"1221 Algonquin Ave, North Bay, Ontario P1B 4Y3",P1B4Y3,705-474-8630,Ontario,75d077e5-a3d5-4afa-9739-388595efe5b1
Almonte Remedy's Pharmacy,"401 Ottawa Street, Almonte, Ontario K0A 1A0",K0A1A0,613-256-6884,Ontario,0a56e7b9-ae5b-42b6-b9b9-ab8cc715bb57
The Medecine Shoppe Pharmacy,"118 Avenue Nw, Edmonton, Alberta T5G 0N9",T5G0N9,780-477-3779,Alberta,bd111052-d359-4119-9b5c-0918d7096e98
Sioux Lookout Pharmacy,"14 Fourth Avenue, Sioux Lookout, Ontario P8T 1C5",P8T1C5,807-737-3434,Ontario,9482a276-5d42-450b-b647-899cbf2adee5
Pro-Health Pharmacy #2,"8580 Young Road, Chilliwack, British Columbia V2P 1B6",V2P1B6,604-845-8084,British Columbia,d7e50544-e301-448f-8f4b-cbf9b3a37688
Catalyst Pharmachoice,"5009 50 Ave, Saint Paul, Alberta T0A 3A0",T0A3A0,780-614-3210,Alberta,64e72053-a93a-4de2-8fc8-6d3ccc2e467b
Glenboro Pharmacy,"512 Railway Ave, Glenboro, Manitoba R0K 0X0",R0K0X0,204-827-2041,Manitoba,a7f85e28-e1c8-43c3-a0cb-75f25944bb9d
Bioscript Pharmacy,"414-1011 Glenmore Trail SW, Calgary, Alberta T2V 4R6",T2V4R6,403-252-3960,Alberta,3e2b113a-0b0f-4cfd-a72e-14bc436f1aa3
Forbes Park Community Drug Mart,"26 FORBES ST, CAMBRIDGE, Ontario N3C 2E2",N3C2E2,(519) 658-0001,Ontario,cd22de6c-7298-40a8-adb4-551182fff059
Chapman's Pharmacy,"648 - 650 Dundas Street, London, Ontario N5W 2Y8",N5W2Y8,519-439-8411,Ontario,35388e1e-f33c-4c54-831c-e9667bcbd36d
First Care Pharmacy,"2-2 Lorry Greenberg Drive, Ottawa, Ontario K1G 5H6",K1G5H6,613-248-8000,Ontario,24e12a08-0051-4d7b-9bc6-8af32663d3a0